ID	ER-NOD-ERR1084805	ER-NOD-ERR1084806	ER-ATH-ERR1084764	ER-ATH-ERR1084765	TN-NOD-ERR1084798	TN-NOD-ERR1084799	TN-ATH-ERR1084768	TN-ATH-ERR1084766	A1-A2_1_Tt	B1-B2_1_Tt	i_B1-B2_1_A1-A2_1_Tt	FTEST_A1-A2_1	FTEST_B1-B2_1	FTEST_B1-B2_1+A1-A2_1
ENSG00000001630	0.940188	0.494383	0.883099	0.89844	1.01165	0.297551	0.435223	0.86823	-0.637376	0.3604	-0.372539	0.52388	0.718548	0.709492
ENSG00000001631	0.377775	0.65397	0.577397	1.94195	0.728871	0.464784	0.613401	1.05223	-0.466352	1.32097	-0.684642	0.640964	0.186512	0.49357
ENSG00000002834	9.03916	10.0915	9.73534	9.72664	9.46042	9.10678	6.77937	8.57874	-2.2075	-1.36109	-1.67452	0.0272791	0.173485	0.0940285
ENSG00000003402	1.0162	0.735712	0.817297	1.15765	0.599162	0.153745	0.388159	0.241603	-3.09441	0.131864	-0.456978	0.00197204	0.895092	0.647687
ENSG00000003436	0.607206	0.706969	0.116301	0.342887	0.744542	0.190944	0.237232	0.904177	0.336721	-0.720037	1.17692	0.736327	0.471502	0.239229
ENSG00000003509	0.256679	0.500944	0.22979	0.208809	1.09892	0.318257	0.612932	0.939112	2.01277	-0.209066	0.515269	0.0441383	0.834397	0.606365
ENSG00000004961	7.07645	5.9873	7.21399	7.4161	5.7204	7.76572	6.29718	7.78596	-0.0451102	0.783348	-0.350989	0.964019	0.433423	0.725597
ENSG00000005073	1.67266	0.71264	0.396032	0.737552	1.69218	2.27808	7.31193	6.51045	10.0332	6.04535	7.80505	1.08884e-23	1.49082e-09	5.9476e-15
ENSG00000005102	1.04373	0.624287	0.593583	1.07278	2.48608	4.78023	0.926241	4.51298	2.17679	-0.424791	-0.424022	0.0294964	0.670989	0.671549
ENSG00000005339	0.392517	0.871358	0.626745	0.869914	0.500229	0.991529	0.383315	0.452458	-0.571579	-0.558641	-1.17321	0.567607	0.576407	0.240712
ENSG00000005421	2.11011	5.08634	0.907725	1.01903	2.14004	0.169755	3.08178	3.87911	0.0403076	-0.169065	2.71136	0.967848	0.865746	0.00670079
ENSG00000005801	1.04933	0.625995	0.186056	0.292214	0.763227	0.990233	0.448893	0.164171	0.281078	-3.08552	0.07479	0.778651	0.00203198	0.940382
ENSG00000005884	0.120023	0.557702	0.163096	0.33828	1.07063	1.00221	0.95092	0.366666	2.91903	-1.22975	-0.76418	0.00351118	0.218789	0.44476
ENSG00000006015	0.63976	0.475207	0.860249	0.612535	0.767724	0.631606	0.13928	0.537638	-0.675203	-0.48128	-1.42594	0.499547	0.630318	0.153885
ENSG00000006016	1.03184	1.03081	0.820952	0.384293	0.838534	0.739979	2.45162	0.454049	0.594149	0.229473	1.06714	0.552412	0.818502	0.285909
ENSG00000006468	3.12026	3.49051	3.89464	4.35873	2.20746	0.41852	4.4627	4.66537	-1.64056	4.2963	2.56337	0.100888	1.73671e-05	0.0103662
ENSG00000006555	0.787861	0.265974	0.540105	0.980075	0.929201	0.434298	0.430337	0.328968	-0.531335	-0.162328	-1.26064	0.595187	0.871047	0.207439
ENSG00000006607	0.993372	0.45036	0.78667	1.72211	1.05647	0.68864	0.757304	0.654976	-0.693202	0.638361	-1.21869	0.488183	0.523239	0.222962
ENSG00000006634	7.19209	7.213	6.65162	6.94143	7.09626	7.33326	7.22486	8.48115	1.63028	0.354257	1.59302	0.103041	0.723146	0.111156
ENSG00000006638	1.22676	1.3006	0.958676	0.53956	1.02397	0.498437	0.914767	0.784219	-1.06158	-1.12539	1.59157	0.288427	0.260423	0.111481
ENSG00000006756	1.70947	1.01097	3.06566	2.07112	0.582491	0.315825	1.05025	1.02013	-3.92779	2.88318	-0.999738	8.57296e-05	0.00393683	0.317437
ENSG00000007392	0.24766	0.981062	0.741081	0.531953	0.719596	0.381059	0.886002	0.886254	0.444819	0.857998	0.751785	0.656451	0.390894	0.45218
ENSG00000007908	0.407458	0.547034	0.326107	2.73474	2.10015	2.24381	2.38117	3.67972	2.3288	1.39348	-0.141935	0.0198698	0.163475	0.887132
ENSG00000008056	0.287533	0.831744	0.376235	0.656444	0.516501	0.269607	1.0068	0.203171	-0.149886	0.324316	0.490863	0.880854	0.745698	0.623523
ENSG00000008283	0.226075	0.595444	2.02763	0.860475	1.08475	1.035	0.784445	0.483188	-0.255396	0.962553	-2.31329	0.798417	0.335772	0.0207065
ENSG00000008838	0.849771	0.468664	0.39416	0.332262	0.684489	0.344413	0.25239	0.832149	0.0884782	-0.69197	0.835523	0.929497	0.488956	0.403423
ENSG00000008988	0.225475	1.27985	0.89347	0.264102	0.845071	0.17453	1.0501	2.18298	0.8831	1.03638	1.42272	0.377182	0.300024	0.154816
ENSG00000009335	0.152529	0.621563	0.276211	0.340062	0.897798	0.832654	0.756564	1.06741	2.85663	-0.0848827	0.331773	0.00428159	0.932355	0.740061
ENSG00000009413	2.14004	1.70572	0.739458	0.859735	2.55995	0.64739	2.02344	2.13318	0.975104	-0.65919	1.6239	0.329508	0.509774	0.104396
ENSG00000009765	1.66132	0.19348	0.234902	0.62021	0.178232	0.169906	0.304655	0.56142	-0.971763	-0.312996	0.986009	0.331168	0.754284	0.324129
ENSG00000009950	1.09455	0.919677	0.673319	0.855581	0.151939	0.810736	0.257807	1.09999	-1.11284	-0.0820969	0.801373	0.265779	0.93457	0.422916
ENSG00000010404	0.761171	0.304329	1.51821	0.989956	0.59151	0.225468	1.0978	0.277949	-1.21402	1.75951	-0.777054	0.224742	0.078491	0.437127
ENSG00000010610	4.55131	1.39126	4.26158	4.73498	4.27767	4.74505	4.97108	8.22899	1.58782	1.57642	0.24489	0.112327	0.11493	0.806542
ENSG00000011132	0.154058	0.97054	0.172329	0.104162	1.02307	0.693892	0.280372	0.263131	0.973088	-2.28905	-0.3684	0.33051	0.0220763	0.712575
ENSG00000011243	0.49169	1.01303	0.919695	0.459095	0.652485	0.67943	0.552576	1.88839	0.590419	0.652656	0.819851	0.55491	0.513978	0.412301
ENSG00000011275	0.787387	0.19964	2.86031	0.630808	0.857294	0.404295	1.09223	0.676971	-0.606563	1.26215	-0.836691	0.544141	0.206894	0.402766
ENSG00000011295	0.977614	0.847809	0.72891	0.135421	0.847803	0.933239	1.02538	0.973271	1.43876	-0.981429	1.55593	0.15022	0.326381	0.119726
ENSG00000011454	0.931038	1.07943	0.843811	1.00337	1.0836	0.76688	0.597259	0.263968	-1.51269	-1.5214	-1.09029	0.130358	0.128159	0.275585
ENSG00000011478	0.930012	1.29633	0.988949	0.176995	0.749707	0.348044	1.02176	0.72948	-0.532691	-0.398969	1.68043	0.594247	0.689916	0.0928745
ENSG00000011638	1.3648	0.329137	0.80062	0.416867	0.428777	0.331428	0.174161	0.733072	-1.00187	-0.265307	0.502132	0.316405	0.790773	0.615575
ENSG00000012232	0.323656	0.751132	0.610686	1.07147	0.380042	0.646107	0.819269	0.213281	-0.765009	0.672452	-0.658428	0.444266	0.501296	0.510263
ENSG00000012779	6.36302	0.571483	0.69254	2.02344	3.85543	4.85665	3.87194	5.20376	1.31849	-0.624614	0.742449	0.187338	0.532225	0.457815
ENSG00000013306	1.04432	0.550918	0.436351	0.947684	0.534513	0.103231	0.444943	0.698481	-1.37869	0.338865	0.824931	0.167992	0.734712	0.409411
ENSG00000013364	0.933243	0.333892	0.775476	0.58295	0.581936	0.404956	1.54027	0.812087	0.729217	1.48846	1.3019	0.465869	0.136631	0.19295
