ID	Ebs_control12	Ebs_control11	Ebs_control10	Ebs_control9	Ebs_control8	Ebs_control7	Ebs_control6	Ebs_control5	Ebs_control4	Ebs_control3	Ebs_control2	Ebs_control1	Ebs_RA_4D12	Ebs_RA_4D11	Ebs_RA_4D10	Ebs_RA_4D9	Ebs_RA_4D8	Ebs_RA_4D7	Ebs_RA_4D6	Ebs_RA_4D5	Ebs_RA_4D4	Ebs_RA_4D3	Ebs_RA_4D2	Ebs_RA_4D1	Ebs_RA_2D12	Ebs_RA_2D11	Ebs_RA_2D10	Ebs_RA_2D9	Ebs_RA_2D8	Ebs_RA_2D7	Ebs_RA_2D6	Ebs_RA_2D5	Ebs_RA_2D4	Ebs_RA_2D3	Ebs_RA_2D2	Ebs_RA_2D1	encapsulated_control10	encapsulated_control9	encapsulated_control8	encapsulated_control7	encapsulated_control6	encapsulated_control5	encapsulated_control4	encapsulated_control3	encapsulated_control2	encapsulated_control1	encapsulated_RA_4D11	encapsulated_RA_4D10	encapsulated_RA_4D9	encapsulated_RA_4D8	encapsulated_RA_4D7	encapsulated_RA_4D6	encapsulated_RA_4D5	encapsulated_RA_4D4	encapsulated_RA_4D3	encapsulated_RA_4D2	encapsulated_RA_4D1	encapsulated_RA_2D12	encapsulated_RA_2D11	encapsulated_RA_2D10	encapsulated_RA_2D9	encapsulated_RA_2D8	encapsulated_RA_2D7	encapsulated_RA_2D6	encapsulated_RA_2D5	encapsulated_RA_2D4	encapsulated_RA_2D3	encapsulated_RA_2D2	encapsulated_RA_2D1
ENSMUSG00000085578	1.68791	1.83261	1.48817	1.36966	1.39136	1.34829	1.45755	1.58003	1.82722	1.64113	1.41757	1.49657	0.726849	0.158278	0.385889	0.45491	0.57096	0.528348	0.340046	0.575631	0.779196	0.219324	0.961436	0.811207	1.09613	1.22317	1.44353	1.34312	1.35759	0.966172	0.637739	0.883558	0.972615	1.39636	1.12476	0.244963	0.65919	1.01303	0.406227	1.06908	0.47311	0.935778	0.589775	0.4092	0.4092	0.843269	0.305795	0.330425	0.418012	0.18131	0.0915355	0.24601	0.120108	0.667042	0.556667	0.4092	0.327265	0.141638	0.232429	0.141638	0.591666	0.157164	0.330425	0.130687	0.0445937	0	0.496466	0.223244	0.5187
ENSMUSG00000073413	2.35653	2.54715	2.71432	2.72169	2.05979	1.9868	1.69865	2.21955	1.63912	1.86447	1.6353	1.51935	0.961436	0.355069	0.858603	0.639986	0.961436	0.782896	0.978578	0.443948	1.06074	1.34418	1.34906	1.16664	1.42866	1.63959	0.904359	1.25879	1.23485	1.08485	1.28408	1.28408	1.01355	1.00986	1.06866	0.589775	1.64747	2.13444	2.03478	1.8262	1.32288	1.68168	1.74999	0.18131	0.18131	1.57645	0.236747	0.355984	0	0.411735	0.133399	0.250426	0.0462914	0.263964	0.32244	0.502296	0.289252	0	0.0462914	0.0543187	0	0	0	0.0157533	0	0.577641	0.537773	0.250426	0.0861885
ENSMUSG00000029138	3.16852	3.19215	3.32308	3.22686	3.47163	3.40599	3.46776	3.41496	3.55183	3.50287	3.42921	3.51946	0.952392	1.15434	0.924884	0.961436	1.22469	1.22744	1.45637	0.636736	0.918975	1.01303	1.06645	0.813778	2.31471	2.40559	2.42099	2.47048	2.23078	2.32825	2.39076	2.3063	2.30889	2.4007	2.40162	2.28139	3.12621	3.28009	3.19598	3.24594	3.23034	3.16852	3.15697	0	0	3.05934	0.312906	0.470495	0.606241	0.606241	0.424602	0.25601	0.540431	0.569606	0.593419	0.228653	0.407949	1.30952	0.717874	1.12988	0.865216	1.65507	1.19524	0.934148	1.39182	1.38298	1.25879	1.55499	1.35008
ENSMUSG00000085662	1.00543	0.974878	0.632491	0.843269	0.544853	0.866058	0.785783	0.793333	1.01122	0.804056	1.11734	0.886227	0.263964	0.599601	0.427033	0.5479	0.263964	0	0.10045	0.214074	0.236747	0.585938	0.160418	0.45491	0.235788	0.608849	0.197307	0.363723	0.816117	0.5187	0.650576	0.726849	0.934148	0.748952	0.779196	0.47311	0	0.133399	0.263964	0	0	0.663428	0.467248	0.379543	0.379543	0.130687	0	0	0.0462914	0	0	0.0462914	0	0.171855	0.00131581	0	0	0	0.0938088	0	0.244963	0.0411793	0	0.0563355	0.0462914	0	0	0.03949	0.141638
ENSMUSG00000074479	2.47349	2.66341	2.69916	2.61328	3.08941	3.07577	3.03736	3.069	2.9877	2.85625	3.02098	2.89424	1.57317	1.46263	1.72118	1.2356	1.64935	1.66363	1.57345	1.57229	1.70898	1.78863	1.50036	1.57751	1.70633	1.64871	1.76806	1.67342	1.74796	1.73045	1.59854	1.966	1.75807	1.55499	1.27061	1.87903	2.78569	2.89659	2.96332	3.04698	2.89424	2.74168	2.99644	0.325535	0.325535	2.9877	0.312906	0.130687	0.320462	0.141638	0.323831	0.0445937	0.03949	0.0861885	0	0.157164	0.422452	1.21068	1.07687	1.23525	1.72719	1.38191	1.21737	1.18525	1.11734	1.51505	1.42866	1.4963	1.07389
ENSMUSG00000024459	1.00163	1.11524	0.919943	0.839266	1.20523	0.979033	0.909772	1.06074	1.10383	0.726849	0.835698	1.07036	0.506013	0.5187	0.244963	0.219324	0.330425	0	0.32244	0.32244	0.668733	0.447905	0.762572	0.141638	0.120108	0.677738	0.842791	0.55975	0.758539	0.155644	0.630821	0.622765	0.834865	0.665531	0.768663	0.471802	0.471802	0.420907	0.310932	0.236747	0.656504	0.989856	0.508142	0	0	0.216006	0	0	0	0	0	0	0	0	0.355069	0.191339	0	0.283282	0	0.149355	0.0915355	0.132211	0	0.290847	0.141638	0.474422	0.0129113	0.133399	0.469695
ENSMUSG00000017767	2.55946	2.39878	2.29827	2.32512	2.59481	2.40795	2.49433	2.43114	2.67484	2.45207	2.55449	2.34862	0.967256	1.25483	1.24621	0.974878	1.09894	1.41251	1.47822	1.19864	0.994848	1.12743	1.43776	1.19368	1.89681	1.93619	1.4826	1.92267	1.48318	1.67644	1.60845	1.65235	1.83714	1.7962	1.59221	1.25319	2.46326	2.42362	2.61804	2.32825	2.22528	2.54116	2.51049	0	0	2.45627	0.757554	0.637739	0.961436	0.560833	0.799482	0.792506	0.776297	0.934148	0.656504	0.929831	1.01647	1.0158	0.872045	0.664063	0.506013	1.08675	1.30084	1.16889	1.21705	1.19524	0.657159	1.11734	0.851027
ENSMUSG00000027342	1.58917	1.34154	1.47822	1.6699	1.49785	1.09613	0.851027	1.15739	1.39715	1.55767	1.79446	1.35319	0.822128	1.0265	0.736375	0.95617	0.757554	0.834236	1.13071	1.43776	1.08132	0.441403	0.661894	1.1568	0.888018	0.974878	1.15997	0	1.25434	0.78709	1.0265	0.692466	0.918975	0.944249	0.757554	0.747801	0.886727	1.50452	1.14527	0.755532	0.882227	1.12743	0.791944	0	0	1.18054	0.789906	0.290847	0.235788	0.568526	0.503303	0.594678	0.586634	0.407087	0.620664	0.59636	0.75668	0.657159	0.143326	0.406227	0.390803	0.722181	0.772546	0.460157	0.51135	0.358735	0.330425	0.475221	0.307182
ENSMUSG00000087221	1.60261	1.62606	1.64486	1.70321	1.98892	1.53425	1.76914	1.54763	1.74475	1.73744	1.66113	1.39488	0.943503	1.15238	1.00685	0.98112	0.850161	1.03222	0.688635	0.856648	1.28408	1.14527	1.29181	1.17731	0.996977	1.46631	1.50987	1.84985	1.36659	0.890092	1.40766	1.24368	1.12303	1.24621	1.48065	0.886727	1.72719	1.74796	1.52206	1.75985	1.6904	1.65089	1.77556	0.589775	0.589775	1.79771	0.667042	0.369788	0.232429	0.0915355	0.0101046	0.383185	0.57096	0.298858	0.263964	0.406227	0.251938	0.541891	0.374008	0.506762	0.769624	0.415825	0.626198	0.790561	0.524848	0.746928	1.05029	0.850161	0.793333
ENSMUSG00000064346	0.936578	1.02964	0.300244	0.310932	0.24601	0.261841	0.232429	0.244963	0.730323	0.801228	0.814489	0.719264	0.503303	0.374008	0.381749	0.468543	0.59636	0.621658	0.447905	0.646877	0.650576	0	0.16778	0.145027	0.572037	0.544853	0.608849	0.669363	0.663428	0.250426	0.506013	0.656504	0.141638	0.517501	0.141638	0.374008	0	0	0.232429	0.263964	0	0.234841	0.223244	0	0	0	0	0.157164	0.0462914	0.143326	0	0	0	0.323831	0	0	0.176693	0.141638	0	0	0	0.0462914	0	0	0.0462914	0	0.0114996	0.266709	0.283282
