id	group_1_sample_1_ER-ERR1084811_PE	group_1_sample_2_ER-ERR1084806_PE	group_1_sample_3_ER-ERR1084805_PE	group_1_sample_4_ER-ERR1084775_PE	group_1_sample_5_ER-ERR1084765_PE	group_1_sample_6_ER-ERR1084764_PE	group_1_sample_7_ER-ERR1084763_PE	group_2_sample_10_TN-ERR1084799_PE	group_2_sample_11_TN-ERR1084798_PE	group_2_sample_12_TN-ERR1084768_PE	group_2_sample_13_TN-ERR1084766_PE	group_2_sample_1_TN-ERR1084810_PE	group_2_sample_2_TN-ERR1084809_PE	group_2_sample_3_TN-ERR1084808_PE	group_2_sample_4_TN-ERR1084807_PE	group_2_sample_5_TN-ERR1084804_PE	group_2_sample_6_TN-ERR1084803_PE	group_2_sample_7_TN-ERR1084802_PE	group_2_sample_8_TN-ERR1084801_PE	group_2_sample_9_TN-ERR1084800_PE
Group	ER	ER	ER	ER	ER	ER	ER	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
ENSG00000001630	0	0	0	0	0	0	0	0	0	0	0	0	1.89	1	0	0	0	0	0	0
ENSG00000002834	7711	13312.07	5565	7949	5692	6261	5410	6196	10578	756	4643	9798.59	2218.41	4830	3662	3485	7929.36	3353.02	4599.93	4522
ENSG00000003402	4	0.87	0	3	1.01	0	1	0	5.89	1.6	0	7.07	7.16	6	3	4.05	0	6.05	3.52	4.32
ENSG00000003436	0	0	0.97	1	0	0	0	1	4	0	0	0	1.01	0	0	0	1	0	1.04	0
ENSG00000003509	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000004534	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004766	0	0	0	0	0	0	0	0	0.69	0	0	0	1	0	0	0	0	0	0	0
ENSG00000004961	132	169	450	292	353	302	308	880	170	247	710	578	414	326	236	507	819	165	311	222
ENSG00000005073	2	0	2	0	0	0	0	6	4	703.33	326.14	5	21	41.74	78.8	2	17	0	0	187.53
ENSG00000005102	0	0	1	0	0	0	0	49	6	1	58	15	8	78	22	346	0	0	0	34
ENSG00000005421	1	33	3	0	0	0	0	0	7	4	8	120.13	6	0	10	1	16	2	17	7
ENSG00000005801	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000005884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000005893	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000006015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.29	0	1
ENSG00000006016	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0
ENSG00000006210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000006432	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000006468	8	20	10	0	8	11	5	2	6	54	78	328	78	1	15	117	3	43	1	1
ENSG00000006534	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006555	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006607	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000006634	52	151	170.92	120.99	63	62	58	162.8	175.97	205.98	977.31	230.16	143.93	93.86	217.89	205.85	106.01	77.9	193.75	208.98
ENSG00000006638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000006756	0	0	2	0	1	3	6	0	0	0	0	2	2	1	3	0	0	0	0	1
ENSG00000006831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000007392	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000007908	0	0	0	0	3	0	0	9	8	8	35	76	1	1	3	1018	0	3	31	47
ENSG00000008056	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008283	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008838	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSG00000008952	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000008988	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000009335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000009413	0	1.03	4	0	0	0	1	1	9.03	4.89	5	4	26.75	0	2.7	8.09	4.94	13.97	6.21	56.93
ENSG00000009765	0	0	1.06	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	2.06	0	0
