id	group_1_sample_1_ER-ERR1084811_PE	group_1_sample_2_ER-ERR1084806_PE	group_1_sample_3_ER-ERR1084805_PE	group_1_sample_4_ER-ERR1084775_PE	group_1_sample_5_ER-ERR1084765_PE	group_1_sample_6_ER-ERR1084764_PE	group_1_sample_7_ER-ERR1084763_PE	group_2_sample_10_TN-ERR1084799_PE	group_2_sample_11_TN-ERR1084798_PE	group_2_sample_12_TN-ERR1084768_PE	group_2_sample_13_TN-ERR1084766_PE	group_2_sample_1_TN-ERR1084810_PE	group_2_sample_2_TN-ERR1084809_PE	group_2_sample_3_TN-ERR1084808_PE	group_2_sample_4_TN-ERR1084807_PE	group_2_sample_5_TN-ERR1084804_PE	group_2_sample_6_TN-ERR1084803_PE	group_2_sample_7_TN-ERR1084802_PE	group_2_sample_8_TN-ERR1084801_PE	group_2_sample_9_TN-ERR1084800_PE
ENSG00000001630	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.89	1.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000002834	7711.00	13312.07	5565.00	7949.00	5692.00	6261.00	5410.00	6196.00	10578.00	756.00	4643.00	9798.59	2218.41	4830.00	3662.00	3485.00	7929.36	3353.02	4599.93	4522.00
ENSG00000003402	4.00	0.87	0.00	3.00	1.01	0.00	1.00	0.00	5.89	1.60	0.00	7.07	7.16	6.00	3.00	4.05	0.00	6.05	3.52	4.32
ENSG00000003436	0.00	0.00	0.97	1.00	0.00	0.00	0.00	1.00	4.00	0.00	0.00	0.00	1.01	0.00	0.00	0.00	1.00	0.00	1.04	0.00
ENSG00000003509	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000004534	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000004766	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000004961	132.00	169.00	450.00	292.00	353.00	302.00	308.00	880.00	170.00	247.00	710.00	578.00	414.00	326.00	236.00	507.00	819.00	165.00	311.00	222.00
ENSG00000005073	2.00	0.00	2.00	0.00	0.00	0.00	0.00	6.00	4.00	703.33	326.14	5.00	21.00	41.74	78.80	2.00	17.00	0.00	0.00	187.53
ENSG00000005102	0.00	0.00	1.00	0.00	0.00	0.00	0.00	49.00	6.00	1.00	58.00	15.00	8.00	78.00	22.00	346.00	0.00	0.00	0.00	34.00
ENSG00000005421	1.00	33.00	3.00	0.00	0.00	0.00	0.00	0.00	7.00	4.00	8.00	120.13	6.00	0.00	10.00	1.00	16.00	2.00	17.00	7.00
ENSG00000005801	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000005884	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ENSG00000005893	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006015	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.29	0.00	1.00
ENSG00000006016	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
ENSG00000006210	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000006432	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006468	8.00	20.00	10.00	0.00	8.00	11.00	5.00	2.00	6.00	54.00	78.00	328.00	78.00	1.00	15.00	117.00	3.00	43.00	1.00	1.00
ENSG00000006534	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006555	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006607	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006634	52.00	151.00	170.92	120.99	63.00	62.00	58.00	162.80	175.97	205.98	977.31	230.16	143.93	93.86	217.89	205.85	106.01	77.90	193.75	208.98
ENSG00000006638	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00
ENSG00000006756	0.00	0.00	2.00	0.00	1.00	3.00	6.00	0.00	0.00	0.00	0.00	2.00	2.00	1.00	3.00	0.00	0.00	0.00	0.00	1.00
ENSG00000006831	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
ENSG00000007392	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000007908	0.00	0.00	0.00	0.00	3.00	0.00	0.00	9.00	8.00	8.00	35.00	76.00	1.00	1.00	3.00	1018.00	0.00	3.00	31.00	47.00
ENSG00000008056	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000008283	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
