id	ER-ERR1084806_PE	ER-ERR1084805_PE	ER-ERR1084765_PE	ER-ERR1084764_PE	TN-ERR1084799_PE	TN-ERR1084798_PE	TN-ERR1084768_PE	TN-ERR1084766_PE
Group	ER	ER	ER	ER	TN	TN	TN	TN
ENSG00000002834	13312.07	5565	5692	6261	6196	10578	756	4643
ENSG00000003402	0.87	0	1.01	0	0	5.89	1.6	0
ENSG00000003436	0	0.97	0	0	1	4	0	0
ENSG00000004534	1	0	0	0	0	0	0	0
ENSG00000004766	0	0	0	0	0	0.69	0	0
ENSG00000004961	169	450	353	302	880	170	247	710
ENSG00000005073	0	2	0	0	6	4	703.33	326.14
ENSG00000005102	0	1	0	0	49	6	1	58
ENSG00000005421	33	3	0	0	0	7	4	8
ENSG00000006016	0	0	0	0	0	0	1	0
ENSG00000006468	20	10	8	11	2	6	54	78
ENSG00000006534	0	0	1	0	0	0	0	0
ENSG00000006555	0	0	0	0	1	0	0	0
ENSG00000006607	0	0	0	0	0	0	0	2
ENSG00000006634	151	170.92	63	62	162.8	175.97	205.98	977.31
ENSG00000006756	0	2	1	3	0	0	0	0
ENSG00000007392	0	0	0	0	0	0	0	1
ENSG00000007908	0	0	3	0	9	8	8	35
ENSG00000008056	1	0	0	0	0	0	0	0
ENSG00000008283	0	0	0	1	0	0	0	0
ENSG00000008988	1	0	0	0	0	0	0	1
ENSG00000009413	1.03	4	0	0	1	9.03	4.89	5
ENSG00000009765	0	1.06	0.99	0	0	0	0	0
ENSG00000009950	0	0.98	0	0	0	0	0	0
ENSG00000010404	0	2	0	0	0	3	0	1
ENSG00000010610	2	20	5	3	68	20	35	2119
ENSG00000011243	0	0	0	0	0	0	0	1
ENSG00000011275	0	0	0	1	0	0	0	0
ENSG00000011295	2	0	0	0	0	1	0	0
ENSG00000011478	0	0	0	0	0	0	2	0
ENSG00000011638	0	1	0	0	0	0	0	0
ENSG00000012779	0	166	1	0	50	29	22	54
ENSG00000013293	0	0	0	0	0	0	1	0
ENSG00000013364	0	0	0	0	0	1	2	0
ENSG00000014138	1	0	1	1	0	1	0	0
ENSG00000016082	0	0	0	0	0	0	14	87
ENSG00000019144	0	0	0	0	0	0	1	0
ENSG00000021355	0	0	0	0	0	0	0.94	0
ENSG00000021826	0	0	0	0	1	0	0	0
ENSG00000022267	0	0	0	0	9	15	0	175
ENSG00000023228	0	0	1	0	0	1	0	0
ENSG00000025800	0	0	0	0	0	1	0	0
ENSG00000033170	0	0	1.03	2	0	0	0	0
ENSG00000035928	0	1	0	0	0	0	0	0
ENSG00000037749	0	0	0	0	0	0	0	1
ENSG00000037757	660.29	841.3	921.65	1128	1030.31	1903.54	2051.2	549.3
ENSG00000038210	0	8	0	0	0	4	2	1
ENSG00000039319	0	0	0	0	2	1	1	0
ENSG00000042304	0	0	0	0	0	1	0	0
ENSG00000044115	0	0	0	1	0	0	0	0
ENSG00000046604	0	0	0	1	0	0	0	1
ENSG00000047410	0	0	0	0	0	0	1	0
ENSG00000047648	0	30	1	0	26	2	1	43
ENSG00000049541	0	0	0	0	0	0	0	1
ENSG00000050130	0	3	2	0.79	0	1	2	0
ENSG00000052723	0	0	0	0	0	0	1	0
ENSG00000052802	0	0	1	0	1	0	0	0
ENSG00000053372	0	3	2	1	1	0	0	0
ENSG00000053501	0	0	0	0	0	0	0	1
ENSG00000053524	0	0	0	0.95	1	0	0	0
ENSG00000054654	45.02	1.29	7.41	9.01	17.11	17.6	16.27	0
ENSG00000054690	0	0	0	0	0	1	0	2
ENSG00000057019	0.96	0	0.76	0	0	0	0	0
ENSG00000058866	0	1	0	0	57	9	21	58
ENSG00000059691	0	0	0	0	0	0	1	0
ENSG00000060339	1.27	0	0	0	0	0	0	0
ENSG00000064692	31	130	9	7	5	5	0	151
ENSG00000064961	0	0	0	0	0	0	1	0
ENSG00000065154	0	3	1	2	11	8	5	11
ENSG00000065413	0	0	0	0	1	0	0	0
ENSG00000065615	1	0	0	0	0	0	0	1
ENSG00000065621	1	0	0	0	0	0	0	0
ENSG00000065911	0	1	0	0	0	0	0	0
ENSG00000066044	0	1	0	0	1	0	0	1
ENSG00000066056	1	1	0	0	0	0.98	0	1.34
ENSG00000066427	0	0	0	0	1	0	0	0
ENSG00000067334	0	0	1	0	0.97	0	0	0
ENSG00000067842	1	1	1	0	8	23	2	77
ENSG00000067900	0	1	0	0	0	0	0	0
ENSG00000068489	0	0	0	0	0	1	0	0
ENSG00000068654	0	0	1	0	0	0	0	0
ENSG00000069431	11.88	3.11	5.25	5.35	4.96	11.74	3.34	3.39
ENSG00000069869	98.29	32.53	18.06	22.98	23.15	54.48	48.4	11.72
ENSG00000069974	0	0	0	0	2	0	1	0
ENSG00000070182	0	0	0	0	0	1	0	0
ENSG00000070190	0	0	0	0	0	0	0	0.97
ENSG00000070669	1	9	1	3	0	0	10	5
ENSG00000070729	0	5	1	0	12	2	57	0
ENSG00000070756	7528.85	3873.6	3064.83	3568.84	3939.71	4424.01	8620.93	6085.97
ENSG00000070770	167	114	105	99	303	351	262	77
ENSG00000071991	1	0	0	0	0	0	343	7
ENSG00000072080	0	0	0	0	0	1	0	0
ENSG00000072195	0	0	0	0	0	0	0	1
ENSG00000072840	0	0	0	0	0	0	0	1
ENSG00000073756	11	246	1	0	0	22	97	3412
ENSG00000074416	0	0	0	0	1	0	2	0
ENSG00000074755	0	1.01	0	0	1.02	0	1.05	0
ENSG00000074800	0	1	0	0	0	0	1	54
ENSG00000075131	1	0	0	1	0	0	0	0
ENSG00000075624	162	237	111	69	255	130	73	382
ENSG00000075702	0	0	0	0	0	0	0	1
ENSG00000075886	0	0	0	0	1	0	0	0
ENSG00000076053	0	1	0	2	0	0	0	0
