Ensemle_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000254148	224.6401018	19.40399855	2.905833699	6.677601187	2.43E-11	0.000000016661905
ENSG00000259040	122.8101741	18.96889426	2.894554025	6.55330462	5.63E-11	0.000000019303200
ENSG00000241732	65.67634941	18.51780289	2.865438044	6.462468429	1.03E-10	0.000000020169704
ENSG00000257184	49.38079412	18.31213552	2.842444995	6.442388702	1.18E-10	0.000000020169704
ENSG00000231817	697.4423303	12.94485552	2.278560513	5.681155028	1.34E-08	0.000001835573255
ENSG00000233429	305.9478002	11.75608237	2.260311194	5.201090189	1.98E-07	0.000022652054452
ENSG00000198771	605.1920876	10.39162365	2.086478466	4.98046053	6.34E-07	0.000062164476714
ENSG00000101425	1303.826215	11.87926187	2.468138689	4.813044713	1.49E-06	0.000113302819969
ENSG00000255240	208.4354484	11.20233017	2.316783337	4.835294693	1.33E-06	0.000113302819969
ENSG00000163661	1021.954211	8.213570726	1.732034149	4.742152877	2.11E-06	0.000145060840700
ENSG00000128714	481.593009	12.41056627	2.634070986	4.71155346	2.46E-06	0.000153312011358
ENSG00000232295	481.3758703	12.40988289	2.672823161	4.642986887	3.43E-06	0.000196314994426
ENSG00000234899	415.0388532	12.19597785	2.637071809	4.624818258	3.75E-06	0.000197846092489
ENSG00000267893	135.3655505	10.57966534	2.327300513	4.545895675	5.47E-06	0.000268040427865
ENSG00000224853	257.2161319	11.50571572	2.577217369	4.464394761	8.03E-06	0.000367217641750
ENSG00000102837	472.9567829	8.508393178	1.91465953	4.443815228	8.84E-06	0.000378918580169
ENSG00000184500	335.7627391	9.851661664	2.223689672	4.430322174	9.41E-06	0.000379690547017
ENSG00000255310	90.83868118	10.00409052	2.288225964	4.371985406	1.23E-05	0.000469230696795
ENSG00000134873	73.63503918	9.701095103	2.228450869	4.353290997	1.34E-05	0.000470650967774
ENSG00000261175	225.6662783	11.31692078	2.602626443	4.348269345	1.37E-05	0.000470650967774
ENSG00000254607	67.84466089	9.583138598	2.211744638	4.33284134	1.47E-05	0.000480844160572
ENSG00000231106	226.6027568	11.32288271	2.667609583	4.244580161	2.19E-05	0.000682891389220
ENSG00000250620	45.70716518	9.013146752	2.194806658	4.106578917	4.02E-05	0.001197703225801
ENSG00000198542	67.83269443	9.582806419	2.349367887	4.078887123	4.53E-05	0.001293447292319
ENSG00000258732	185.2907288	10.31007842	2.536886546	4.064067602	4.82E-05	0.001323289845070
ENSG00000254979	34.62626324	8.612823977	2.126277405	4.050658657	5.11E-05	0.001347559036274
ENSG00000005073	246.9318918	8.991659578	2.239123874	4.015704394	5.93E-05	0.001505859101183
ENSG00000240990	187.6500101	8.594737924	2.169685293	3.96128321	7.45E-05	0.001826427174745
ENSG00000147381	1057.333933	9.820167518	2.509428718	3.913308016	9.10E-05	0.002054639425823
ENSG00000156150	87.35166919	9.94777536	2.537685786	3.920018551	8.85E-05	0.002054639425823
ENSG00000231290	335.137185	7.536657921	1.934249319	3.896425268	9.76E-05	0.002054639425823
ENSG00000269918	80.88202362	9.836577815	2.526458106	3.893426055	9.88E-05	0.002054639425823
ENSG00000132975	208.2286539	9.742662675	2.523467889	3.860822925	0.000113006	0.002214913299759
ENSG00000171044	38.33923724	8.75952445	2.266033944	3.865575126	0.000110828	0.002214913299759
ENSG00000182183	24.15610468	8.09303997	2.147182797	3.769143447	0.000163809	0.003121466342571
ENSG00000219926	32.23099109	8.509228646	2.263108246	3.759974212	0.000169931	0.003150610238466
ENSG00000229162	22.94479172	8.019040996	2.147905507	3.733423547	0.000188895	0.003410043709733
ENSG00000022267	57.09391189	9.334449481	2.51902152	3.705585445	0.000210903	0.003550906086210
ENSG00000226329	33.8315735	8.579064248	2.31536566	3.70527403	0.000211162	0.003550906086210
ENSG00000272801	66.05463943	9.544505184	2.576810179	3.704000109	0.000212226	0.003550906086210
ENSG00000256124	47.55949089	9.070690436	2.453884682	3.696461575	0.000218625	0.003570880407958
ENSG00000157152	139.1930606	7.514643189	2.046605902	3.671758779	0.000240887	0.003842987878071
ENSG00000140557	62.72339485	9.470077304	2.590494767	3.655702155	0.000256479	0.003998740797796
ENSG00000089225	109.0122872	8.755465093	2.412396906	3.629363423	0.000284121	0.004331266885016
ENSG00000118473	262.8017639	7.685505368	2.123769582	3.618803769	0.000295968	0.004413782891218
ENSG00000161798	658.3332375	8.250784259	2.285035319	3.610790691	0.000305265	0.004455569233002
ENSG00000058866	28.72412802	7.616426537	2.122165286	3.588988374	0.000331964	0.004682068413101
ENSG00000206432	28.85357172	8.349539618	2.327686359	3.587055269	0.000334433	0.004682068413101
ENSG00000253831	43.98186421	8.957688714	2.5202039	3.554350787	0.000378913	0.005198692586004
ENSG00000148704	21.69496065	7.206878679	2.047694778	3.519508257	0.000432348	0.005815498798787
ENSG00000122592	391.1263631	7.651294685	2.182009597	3.506535762	0.00045398	0.005832808943330
ENSG00000140459	164.0501356	7.396029073	2.111024654	3.503525673	0.000459142	0.005832808943330
ENSG00000260306	15.44713657	7.448207539	2.121175623	3.511358258	0.000445823	0.005832808943330
ENSG00000117507	40.66738563	8.844402573	2.541761026	3.479635766	0.000502096	0.006262505165702
ENSG00000215452	20.77490908	7.87538486	2.278298509	3.456695789	0.000546842	0.006698812040970
ENSG00000124019	18.82653648	7.734236024	2.271626223	3.404713304	0.000662336	0.007775098422278
ENSG00000224631	33.01734792	8.544480475	2.511531903	3.40209912	0.000668704	0.007775098422278
ENSG00000225968	34.50943498	8.607801094	2.540534916	3.388184527	0.000703569	0.008044140414067
ENSG00000178343	40.67440894	8.845335057	2.616313817	3.38083872	0.000722649	0.008126844697654
ENSG00000106511	36.70030778	8.697013833	2.580727587	3.369985223	0.000751722	0.008246895653220
ENSG00000253552	132.801993	8.094317847	2.403356103	3.367922813	0.000757368	0.008246895653220
ENSG00000126785	28.14599928	8.314257252	2.48236527	3.349328703	0.000810076	0.008683005226838
ENSG00000253649	12.41429378	7.133398598	2.138297459	3.336017899	0.000849877	0.008969470226680
ENSG00000213023	26.45847203	6.711444341	2.020220136	3.322135157	0.000893314	0.009285052736419
ENSG00000254877	27.31208683	8.270073813	2.513067233	3.290828715	0.000998927	0.010227821458621
ENSG00000214491	23.83813265	7.344761843	2.244549285	3.272265792	0.001066892	0.010763060133395
ENSG00000137033	39.54473589	6.163837693	1.896914626	3.249401743	0.00115648	0.011497759960036
ENSG00000198153	12.63354978	7.157730628	2.215662827	3.230514382	0.001235677	0.012109633359666
ENSG00000111432	47.28029609	9.062156908	2.819241239	3.214395697	0.001307194	0.012454653608624
ENSG00000134061	55.3164729	7.489474991	2.327954094	3.217191872	0.00129452	0.012454653608624
ENSG00000197576	317.0618679	7.022730331	2.189840352	3.206959961	0.001341457	0.012606017287788
ENSG00000186867	20.00711119	7.821870039	2.450641102	3.191764814	0.001414064	0.012933973983464
ENSG00000260905	9.773686982	6.787793613	2.12516435	3.194008789	0.001403118	0.012933973983464
ENSG00000174807	76.74675325	5.691536082	1.791591017	3.176805436	0.001489069	0.013267555152258
ENSG00000213406	11.30117136	6.997567358	2.202725444	3.176776923	0.001489215	0.013267555152258
ENSG00000265933	41.46655052	8.873039677	2.811537236	3.155938881	0.001599824	0.014070245243445
ENSG00000245651	10.50226835	6.892898875	2.187303699	3.151322279	0.00162533	0.014113628706951
ENSG00000255189	18.35404073	7.69646239	2.450628953	3.140606978	0.001685981	0.014457288783220
ENSG00000115604	21.00130752	7.892038274	2.52270514	3.128402979	0.00175759	0.014885270585777
ENSG00000005102	27.45268713	6.761793054	2.163918676	3.124790747	0.001779316	0.014885495990833
ENSG00000260266	13.66210382	7.27121346	2.348109834	3.096624082	0.001957379	0.016177857261348
ENSG00000121742	18.07751677	7.67444742	2.48594644	3.087133052	0.002020971	0.016504597860349
