id	SRR925687	SRR925688	SRR925720	SRR925721	SRR934634	SRR925697	SRR925703	SRR925714	SRR925716	SRR925726	SRR934636
ENSG00000169594.11	31.2	29.01	35.09	36.02	35.04	0.02	0.11	2.75	0	0.02	0
ENSG00000160712.11	10.79	11.18	8.15	9.7	12.08	1.05	4.57	0.62	0.98	3.35	1.03
ENSG00000090776.5	65.2	44.6	55.14	53.91	48.97	14.7	1.9	3.06	7.11	3.2	4.89
ENSG00000077238.12	40.53	30.55	41.85	39.39	42.15	10.14	11.67	4.29	19.13	18.22	10.03
ENSG00000164976.8	8.6	7.82	7.25	7.95	10.18	0.54	1.16	1.57	1.97	2.08	2.23
ENSG00000128016.5	54.69	67.16	54.43	78.89	61.89	13.52	5.31	4.73	26.1	10.54	17.59
ENSG00000100300.16	673.49	668.17	537.1	784.61	686.92	203.12	109.19	43.37	287.57	385.06	193.19
ENSG00000175416.11	319.95	377.72	404.34	334.02	433.48	86.32	49.88	50.11	146.14	235.6	127.56
ENSG00000267855.4	167.96	137.58	142.89	134.79	153.66	107.55	60.5	68.78	59.24	85.73	87.67
ENSG00000126822.14	21.54	23.79	23.73	26.43	34.25	1.38	3.44	4.09	6.93	12.78	0.34
ENSG00000154102.9	82	52.28	67.92	78.26	81.48	0.86	8.91	4.14	0.33	11.64	1.11
ENSG00000166979.11	15.65	15.62	22.94	14.24	18.97	0.46	2.09	3.87	5.11	7.88	0
ENSG00000113328.17	108.15	93.61	91.4	68.69	89.46	27.52	61.39	24.58	26.33	27.2	16.51
ENSG00000198807.11	10.31	9.16	7.22	9.76	7.29	4.5	0.25	0.09	4.23	1.62	2.13
ENSG00000070882.11	17.7	14.54	19.35	16.38	20.16	5.68	4.82	6.22	8.59	13.39	6.39
ENSG00000065621.13	43.91	27.56	28.32	38.17	28.39	0.05	18.42	10.3	0.85	1.67	2.56
ENSG00000174292.11	11.47	14.09	8.22	9.48	10.38	0.94	3.35	2.05	0.11	3.83	3.73
ENSG00000117676.12	66.72	56.84	37.66	48.35	55.38	6.14	31.06	12.07	5.98	17.45	7.78
