id	GeneSymbol	logFC	logCPM	PValue	FDR
ENSG00000137699.15	TRIM29	10.93819171	8.501691765	2.26E-37	1.37E-32
ENSG00000188910.7	GJB3	10.91104797	6.702612338	2.81E-36	8.50E-32
ENSG00000189334.7	S100A14	10.9737271	7.796281939	1.34E-32	2.70E-28
ENSG00000089356.15	FXYD3	11.04291671	7.443603482	2.55E-32	3.85E-28
ENSG00000111319.11	SCNN1A	8.992133862	7.741849705	5.15E-31	5.19E-27
ENSG00000131746.11	TNS4	11.32022778	9.430457831	4.65E-31	5.19E-27
ENSG00000230937.8	MIR205HG	12.2054263	6.947440107	1.55E-29	1.34E-25
ENSG00000205420.9	KRT6A	12.88626479	11.83028947	1.33E-28	1.01E-24
ENSG00000128422.14	KRT17	12.0646075	11.34665714	7.47E-28	5.02E-24
ENSG00000117595.9	IRF6	10.33603146	7.228765655	5.02E-27	3.03E-23
ENSG00000159166.12	LAD1	9.919513255	7.269781679	9.43E-27	5.18E-23
ENSG00000279806.1	AC018629.1	10.27159615	5.231445689	5.62E-26	2.83E-22
ENSG00000147689.15	FAM83A	9.929609705	7.98083929	8.84E-25	4.11E-21
ENSG00000149418.9	ST14	8.369970234	6.361537468	2.94E-24	1.27E-20
ENSG00000137440.4	FGFBP1	10.10285428	5.460721555	7.39E-24	2.98E-20
ENSG00000142273.9	CBLC	9.839560502	4.231975849	1.34E-22	5.08E-19
ENSG00000223572.8	CKMT1A	8.535308587	5.996547708	1.75E-22	6.23E-19
ENSG00000166828.2	SCNN1G	10.33562888	4.896131047	1.23E-21	4.12E-18
ENSG00000173432.9	SAA1	11.1173278	6.458416699	1.45E-21	4.63E-18
ENSG00000265190.5	ANXA8	9.826689481	8.341961769	2.00E-21	6.03E-18
ENSG00000104413.14	ESRP1	8.077273624	5.597005964	3.30E-21	9.50E-18
ENSG00000177494.5	ZBED2	9.057160572	4.716652542	3.84E-21	1.06E-17
ENSG00000148671.12	ADIRF	8.437607783	6.161914046	6.15E-21	1.62E-17
ENSG00000166535.18	A2ML1	11.01354255	5.833917808	7.46E-21	1.88E-17
ENSG00000149043.15	SYT8	9.927548654	6.808972707	1.30E-20	3.15E-17
ENSG00000237289.8	CKMT1B	8.513697094	5.969457379	1.99E-20	4.62E-17
ENSG00000189280.3	GJB5	8.84899836	5.247457099	3.97E-20	8.89E-17
ENSG00000115008.5	IL1A	9.727415924	4.435885519	4.79E-20	1.04E-16
ENSG00000169469.8	SPRR1B	12.60042648	6.769808011	6.01E-20	1.25E-16
